integer,datetime,category
9,2018-01-01 00:00:00,0
9,2018-01-01 00:00:01,0
4,2018-01-01 00:00:02,1
8,2018-01-01 00:00:03,1
8,2018-01-01 00:00:04,1
1,2018-01-01 00:00:05,1
5,2018-01-01 00:00:06,1
3,2018-01-01 00:00:07,0
6,2018-01-01 00:00:08,0
3,2018-01-01 00:00:09,1
3,2018-01-01 00:00:10,0
3,2018-01-01 00:00:11,1
2,2018-01-01 00:00:12,0
1,2018-01-01 00:00:13,0
9,2018-01-01 00:00:14,0
5,2018-01-01 00:00:15,0
1,2018-01-01 00:00:16,0
7,2018-01-01 00:00:17,1
3,2018-01-01 00:00:18,1
5,2018-01-01 00:00:19,1
2,2018-01-01 00:00:20,0
6,2018-01-01 00:00:21,0
4,2018-01-01 00:00:22,0
5,2018-01-01 00:00:23,0
5,2018-01-01 00:00:24,1
4,2018-01-01 00:00:25,0
8,2018-01-01 00:00:26,0
2,2018-01-01 00:00:27,1
2,2018-01-01 00:00:28,0
8,2018-01-01 00:00:29,1
8,2018-01-01 00:00:30,1
1,2018-01-01 00:00:31,0
3,2018-01-01 00:00:32,1
4,2018-01-01 00:00:33,0
3,2018-01-01 00:00:34,0
6,2018-01-01 00:00:35,1
9,2018-01-01 00:00:36,0
2,2018-01-01 00:00:37,1
1,2018-01-01 00:00:38,1
8,2018-01-01 00:00:39,0
7,2018-01-01 00:00:40,0
3,2018-01-01 00:00:41,0
1,2018-01-01 00:00:42,1
9,2018-01-01 00:00:43,1
3,2018-01-01 00:00:44,0
6,2018-01-01 00:00:45,1
2,2018-01-01 00:00:46,1
9,2018-01-01 00:00:47,0
2,2018-01-01 00:00:48,1
6,2018-01-01 00:00:49,0
5,2018-01-01 00:00:50,1
3,2018-01-01 00:00:51,0
9,2018-01-01 00:00:52,0
4,2018-01-01 00:00:53,1
6,2018-01-01 00:00:54,1
1,2018-01-01 00:00:55,0
4,2018-01-01 00:00:56,1
7,2018-01-01 00:00:57,0
4,2018-01-01 00:00:58,1
5,2018-01-01 00:00:59,1
8,2018-01-01 00:01:00,0
7,2018-01-01 00:01:01,1
4,2018-01-01 00:01:02,0
1,2018-01-01 00:01:03,0
5,2018-01-01 00:01:04,0
5,2018-01-01 00:01:05,1
6,2018-01-01 00:01:06,1
8,2018-01-01 00:01:07,1
7,2018-01-01 00:01:08,1
7,2018-01-01 00:01:09,0
3,2018-01-01 00:01:10,1
5,2018-01-01 00:01:11,0
3,2018-01-01 00:01:12,1
8,2018-01-01 00:01:13,0
2,2018-01-01 00:01:14,0
7,2018-01-01 00:01:15,0
7,2018-01-01 00:01:16,1
1,2018-01-01 00:01:17,1
8,2018-01-01 00:01:18,1
3,2018-01-01 00:01:19,1
4,2018-01-01 00:01:20,1
6,2018-01-01 00:01:21,0
5,2018-01-01 00:01:22,1
3,2018-01-01 00:01:23,0
5,2018-01-01 00:01:24,0
4,2018-01-01 00:01:25,0
8,2018-01-01 00:01:26,1
1,2018-01-01 00:01:27,0
1,2018-01-01 00:01:28,1
6,2018-01-01 00:01:29,0
7,2018-01-01 00:01:30,1
7,2018-01-01 00:01:31,1
6,2018-01-01 00:01:32,1
7,2018-01-01 00:01:33,1
5,2018-01-01 00:01:34,1
8,2018-01-01 00:01:35,0
4,2018-01-01 00:01:36,1
3,2018-01-01 00:01:37,0
4,2018-01-01 00:01:38,1
9,2018-01-01 00:01:39,0
8,2018-01-01 00:01:40,1
2,2018-01-01 00:01:41,1
6,2018-01-01 00:01:42,0
4,2018-01-01 00:01:43,0
1,2018-01-01 00:01:44,0
7,2018-01-01 00:01:45,0
